ID,GPU,Index_cellphones,Index_fpt,Index_tgdd,Comment_count,Price,Rating,Rating_count,Series,Brand,cpu_brand,cpu_code,ram_size,storage_size,displ_size,displ_rate,Battery,OS,P/N,displ_resolution,hdmi,Release_year,Surface,Weight,backlit_keyboard,lan,length,ram_upgradable,screen_technology,sd_card,storage_extra_slot,storage_type,headphone_jack,thickness,type_c,usb_a,width,Availabe_in,GPU_brand
225,intel iris xe graphics,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-carbon-i7-ssd-1tb.html,,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i7-82ev0017vn?src=osp#top-tskt,105,32200000,3,6,yoga slim 7 carbon 13itl5 82ev0017vn,lenovo,intel,1165g7,16,1024,13.3,60,50,windows 10,82ev0017vn,2560 x 1600,no,2020,"aluminum, carbon, magnesium",0.966,yes,no,295.88,no,ips,no,no,ssd,yes,15,yes,no,208.85,2,intel
226,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-acer-gaming-predator-helios-300-ph315-54-78w5.html,,https://www.thegioididong.com/laptop/acer-predator-helios-ph315-54-78w5-i7-nhqc5sv001?src=osp#top-tskt,186,33990000,2,1,predator helios ph315 54 78w5 nh.qc5sv.001,acer,intel,11800h,8,512,15.6,144,57,windows 10,nh.qc5sv.001,1920 x 1080,yes,2021,"metal, plastic",2.3,yes,yes,363,yes,ips,no,yes,ssd,yes,22.9,yes,yes,255,2,nvidia
227,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-asus-tuf-gaming-f17-fx706he-hx011t.html,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx706he-i7-hx011t?src=osp#top-tskt,70,31340000,5,6,tuf gaming fx706he hx011t,asus,intel,11800h,8,512,17.3,144,48,windows 10,hx011t,1920 x 1080,yes,2021,"metal, plastic",2.6,yes,yes,399,yes,ips,no,yes,ssd,yes,23.9,yes,yes,269,2,nvidia
228,m1 7-core gpu,https://cellphones.com.vn/macbook-air-2020-m1-16gb.html,,https://www.thegioididong.com/laptop/apple-macbook-air-m1-2020-z124000de?src=osp#top-tskt,220,33990000,4.2,5,macbook air m1 2020,apple,apple,m1,16,256,13.3,60,50,mac os,z124000de,2560 x 1600,no,2020,metal,1.29,yes,no,304.1,no,ips,no,no,ssd,yes,4.1,yes,no,212.4,2,m1
229,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qh-hz035t.html,,https://www.thegioididong.com/laptop/asus-rog-zephyrus-g14-ga401qh-r7-hz035t?src=osp#top-tskt,478,28490000,3.916666667,18,rog zephyrus gaming g14 ga401qh hz035t,asus,amd,5800hs,8,512,14,144,76,windows 10,hz035t,1920 x 1080,yes,2021,"metal, plastic",1.6,yes,no,324,yes,ips,no,no,ssd,yes,17.9,yes,yes,220,2,nvidia
230,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506hc-hn001t.html,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i7-hn141t?src=osp#top-tskt,189,27790000,5,3,tuf gaming fx506hcb hn141t,asus,intel,11800h,8,512,15.6,144,48,windows 10,hn141t,1920 x 1080,yes,2021,"metal, plastic",2.3,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,256,2,nvidia
231,intel iris xe graphics,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-carbon.html,,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i5-82ev0016vn?src=osp#top-tskt,133,26890000,2.3,7,yoga slim 7 carbon 13itl5 82ev0016vn,lenovo,intel,1135g7,16,512,13.3,60,50,windows 10,82ev0016vn,2560 x 1600,no,2020,"aluminum, carbon, magnesium",0.966,yes,no,295.88,no,ips,no,no,ssd,yes,15,yes,no,208.85,2,intel
232,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-flip-13-ux363ea.html,,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i5-hp726w?src=osp#top-tskt,54,27490000,,0,zenbook flip ux363ea hp726w,asus,intel,1135g7,8,512,13.3,60,67,windows 11,hp726w,1920 x 1080,yes,2021,metal,1.3,yes,no,305,no,oled,no,no,ssd,yes,11.9,yes,yes,211,2,intel
233,intel iris xe graphics,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-14itl5-82a300a6vn.html,,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-14itl05-i7-82a300dqvn?src=osp#top-tskt,14,27240000,,0,yoga slim 7 14itl05 82a300dqvn,lenovo,intel,1165g7,8,512,14,60,60.7,windows 10,82a300dqvn,1920 x 1080,yes,2021,metal,1.36,yes,no,320.6,no,ips,yes,no,ssd,yes,14.9,yes,yes,208.18,2,intel
234,m1 7-core gpu,https://cellphones.com.vn/macbook-air-2020-m1.html,,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa?src=osp#top-tskt,1841,28245000,4.526785714,56,macbook air m1 2020,apple,apple,m1,8,256,13.3,60,50,mac os,mgn63sa/a,2560 x 1600,no,2020,metal,1.29,yes,no,304.1,no,ips,no,no,ssd,yes,4.1,yes,no,212.4,2,m1
235,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx706hc-hx003t.html,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx706hc-i5-hx003t?src=osp#top-tskt,215,26490000,3.52,25,tuf gaming fx706hc hx003t,asus,intel,11400h,8,512,17.3,144,48,windows 10,hx003t,1920 x 1080,yes,2021,"metal, plastic",2.6,yes,yes,399,yes,ips,no,yes,ssd,yes,23.9,yes,yes,269,2,nvidia
236,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3500qc-l1105t.html,,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-m3500qc-r5-l1105t?src=osp#top-tskt,8,26090000,,0,vivobook pro 15 oled m3500qc l1105t,asus,amd,5600h,8,512,15.6,60,63,windows 10,l1105t,1920 x 1080,yes,2021,"metal, plastic",1.65,yes,no,359.8,no,oled,yes,no,ssd,yes,19.9,yes,yes,235.3,2,nvidia
237,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506hcb-hn139t.html,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn139t?src=osp#top-tskt,228,25390000,3.5,10,tuf gaming fx506hcb hn139t,asus,intel,11400h,8,512,15.6,144,48,windows 10,hn139t,1920 x 1080,yes,2021,"metal, plastic",2.3,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,256,2,nvidia
238,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hc-hn002t.html,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hc-i5-hn002t?src=osp#top-tskt,464,25190000,5,10,tuf gaming fx506hc hn002t,asus,intel,11400h,8,512,15.6,144,48,windows 10,hn002t,1920 x 1080,yes,2020,"metal, plastic",2.3,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,256,2,nvidia
239,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15imh05-i7.html,,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15imh05-i7-81y4013uvn?src=osp#top-tskt,363,24640000,4,12,ideapad gaming 3 15imh05 81y4013uvn,lenovo,intel,10750h,8,512,15.6,120,45,windows 10,81y4013uvn,1920 x 1080,yes,2020,plastic,2.2,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,249.6,2,nvidia
240,amd radeon rx 5500m,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-028vn.html,,https://www.thegioididong.com/laptop/msi-gaming-bravo-15-b5dd-r7-083vn?src=osp#top-tskt,175,24490000,5,1,gaming bravo 15 b5dd 083vn,msi,amd,5800h,8,512,15.6,144,52,windows 10,083vn,1920 x 1080,yes,2021,plastic,2.35,yes,yes,359,yes,ips,no,no,ssd,yes,24.95,yes,yes,259,2,amd
241,intel iris xe graphics,https://cellphones.com.vn/laptop-dell-latitude-3520-70251594.html,,https://www.thegioididong.com/laptop/dell-latitude-3520-i5-70251593?src=osp#top-tskt,144,22340000,,0,latitude 3520 70251593,dell,intel,1135g7,8,256,15.6,60,41,windows 10,70251593,1920 x 1080,yes,2021,plastic,1.79,yes,yes,361,yes,va,yes,yes,ssd,yes,18,yes,yes,240.9,2,intel
242,intel iris xe graphics,https://cellphones.com.vn/laptop-dell-inspiron-14-5410-p143g001asl.html,,https://www.thegioididong.com/laptop/dell-inspiron-14-5410-i5-p143g001asl?src=osp#top-tskt,26,24490000,,0,inspiron 14 5410 p143g001asl,dell,intel,11320h,8,512,14,60,54,windows 10,p143g001asl,1920 x 1080,yes,2021,"metal, plastic",1.44,yes,no,321.3,yes,va,yes,no,ssd,yes,17.9,yes,yes,212,2,intel
243,intel iris xe graphics,https://cellphones.com.vn/laptop-dell-vostro-5510-70253901.html,,https://www.thegioididong.com/laptop/dell-vostro-5510-i5-70253901?src=osp#top-tskt,741,22490000,3.9,40,vostro 5510 70253901,dell,intel,11300h,8,512,15.6,60,54,windows 10,70253901,1920 x 1080,yes,2021,"metal, plastic",1.75,yes,yes,356,yes,va,yes,yes,ssd,yes,17.9,yes,yes,228,2,intel
244,nvidia geforce mx350,https://cellphones.com.vn/laptop-dell-inspiron-5502-1xgr11.html,,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i5-70267060?src=osp#top-tskt,42,22190000,,0,inspiron 15 3511 70267060,dell,intel,1135g7,8,512,15.6,60,41,windows 10,70267060,1920 x 1080,yes,2021,plastic,1.73,no,no,359,yes,va,yes,yes,ssd,yes,19,no,yes,235.5,2,nvidia
245,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506lh.html,,https://www.thegioididong.com/laptop/asus-uf-gaming-fx506lh-i5-hn002t?src=osp#top-tskt,1909,21940000,3.956,100,tuf gaming fx506lh hn002t,asus,intel,10300h,8,512,15.6,144,48,windows 10,hn002t,1920 x 1080,yes,2020,"metal, plastic",2.3,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,256,2,nvidia
246,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15imh05-81y400x0vn.html,,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15imh05-i5-81y4013vvn?src=osp#top-tskt,902,21075000,3.540540541,37,ideapad gaming 3 15imh05 81y4013vvn,lenovo,intel,10300h,8,512,15.6,120,45,windows 10,81y4013vvn,1920 x 1080,yes,2020,plastic,2.2,yes,yes,351,yes,ips,no,yes,ssd,yes,24.9,yes,yes,240,2,nvidia
247,intel iris xe graphics,https://cellphones.com.vn/laptop-dell-vostro-3500-p90f006cbl.html,,https://www.thegioididong.com/laptop/dell-vostro-3500-i5-7g3983?src=osp#top-tskt,256,20990000,3.7,38,vostro 3500 7g3983,dell,intel,1135g7,8,512,15.6,60,42,windows 10,7g3983,1920 x 1080,yes,2021,plastic,1.98,no,yes,364,yes,va,yes,yes,ssd,yes,19.9,no,yes,249,2,intel
248,intel iris xe graphics,https://cellphones.com.vn/laptop-dell-vostro-15-3510-7t2yc1.html,,https://www.thegioididong.com/laptop/dell-vostro-3510-i5-7t2yc1?src=osp#top-tskt,10,21140000,,0,vostro 3510 7t2yc1,dell,intel,1135g7,8,512,15.6,60,42,windows 10,7t2yc1,1920 x 1080,yes,2021,plastic,1.69,no,yes,358.5,yes,va,yes,no,ssd,yes,18.9,no,yes,235.5,2,intel
249,intel iris xe graphics,https://cellphones.com.vn/laptop-dell-vostro-5402-v5402a.html,,https://www.thegioididong.com/laptop/dell-vostro-5402-i5-v4i5003w?src=osp#top-tskt,534,21390000,4,22,vostro 5402 v4i5003w,dell,intel,1135g7,8,256,14,60,40,windows 10,v4i5003w,1920 x 1080,yes,2020,metal,1.41,yes,yes,321.3,yes,va,yes,no,ssd,yes,17.9,yes,yes,216.2,2,intel
250,nvidia geforce mx330,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea.html,,https://www.thegioididong.com/laptop/asus-vivobook-a515ep-i5-bn544t?src=osp#top-tskt,290,19640000,5,2,vivobook  a515ep bn544t,asus,intel,1135g7,8,512,15.6,60,42,windows 10,bn544t,1920 x 1080,yes,2021,"metal, plastic",1.8,no,no,359,yes,ips,yes,yes,ssd,yes,17.9,yes,yes,235,2,nvidia
251,intel iris xe graphics,https://cellphones.com.vn/laptop-hp-15s-fq2558tu-46m26pa.html,,https://www.thegioididong.com/laptop/hp-15s-fq2558tu-i7-46m26pa-win11?src=osp#top-tskt,59,19390000,,0,15s fq2558tu 46m26pa,hp,intel,1165g7,8,512,15.6,60,41,windows 11,46m26pa,1366 x 768,yes,2021,plastic,1.7,no,no,358.5,yes,,yes,yes,ssd,yes,18,yes,yes,242,2,intel
252,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-vivobook-s15-s533eq-i5-ram-8gb.html,,https://www.thegioididong.com/laptop/asus-vivobook-a515ea-oled-i5-l12032w?src=osp#top-tskt,69,20600000,5,2,vivobook a515ea oled l12032w,asus,intel,1135g7,8,512,15.6,60,42,windows 11,l12032w,1920 x 1080,yes,2021,"metal, plastic",1.8,no,no,359,yes,oled,yes,yes,ssd,yes,17.9,yes,yes,235,2,intel
253,intel uhd graphics,https://cellphones.com.vn/laptop-hp-340s-g7-36a35pa.html,,https://www.thegioididong.com/laptop/hp-340s-g7-i5-36a35pa?src=osp#top-tskt,428,18040000,3.8,30,340s g7 36a35pa,hp,intel,1035g1,8,512,14,60,41,windows 10,36a35pa,1920 x 1080,yes,2020,plastic,1.38,no,no,324,yes,ips,yes,no,ssd,yes,17.9,yes,yes,225,2,intel
254,nvidia geforce mx330,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej1046t.html,,https://www.thegioididong.com/laptop/asus-vivobook-x515ep-i5-1135g7-8gb-512gb?src=osp#top-tskt,489,18290000,3.3,6,vivobook x515ep bq186t,asus,intel,1135g7,8,512,15.6,60,37,windows 10,bq186t,1920 x 1080,yes,2021,plastic,1.8,no,no,360.2,yes,ips,no,yes,ssd,yes,19.9,yes,yes,234.9,2,nvidia
255,intel iris xe graphics,https://cellphones.com.vn/laptop-hp-15s-fq2561tu-46m29pa.html,,https://www.thegioididong.com/laptop/hp-15s-fq2561tu-i5-1135g7-46m29pa?src=osp#top-tskt,61,16990000,,0,15s fq2561tu 46m29pa,hp,intel,1135g7,8,512,15.6,60,41,windows 11,46m29pa,1366 x 768,yes,2021,plastic,1.7,no,no,358.5,yes,va,yes,yes,ssd,yes,18,yes,yes,242,2,intel
256,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea.html,,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i5-eb637w?src=osp#top-tskt,89,18040000,,0,vivobook x415ea eb637w,asus,intel,1135g7,8,512,14,60,37,windows 11,eb637w,1920 x 1080,yes,2021,plastic,1.55,no,no,325.4,yes,ips,no,yes,ssd,yes,19.9,yes,yes,216,2,intel
257,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb360t.html,,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i5-eb637t?src=osp#top-tskt,1214,17590000,4.2,109,vivobook x415ea eb637t,asus,intel,1135g7,8,512,14,60,37,windows 10,eb637t,1920 x 1080,yes,2020,plastic,1.55,no,no,325.4,yes,ips,no,yes,ssd,yes,19.9,yes,yes,216,2,intel
258,intel iris xe graphics,https://cellphones.com.vn/laptop-hp-15s-fq2602tu-4b6d3pa.html,,https://www.thegioididong.com/laptop/hp-15s-fq2602tu-i5-4b6d3pa?src=osp#top-tskt,159,16090000,,0,15s fq2602tu 4b6d3pa,hp,intel,1135g7,8,256,15.6,60,41,windows 11,4b6d3pa,1366 x 768,yes,2021,plastic,1.7,no,no,358.5,yes,ips,yes,yes,ssd,yes,18,yes,yes,242,2,intel
259,intel uhd graphics,https://cellphones.com.vn/laptop-dell-vostro-3400-70235020.html,,https://www.thegioididong.com/laptop/dell-vostro-3400-i3-70270644?src=osp#top-tskt,23,15890000,,0,vostro 3400 70270644,dell,intel,1115g4,8,256,14,60,42,windows 11,70270644,1920 x 1080,yes,2021,plastic,1.64,no,yes,328.7,yes,va,yes,yes,ssd,yes,19.9,no,yes,239.5,2,intel
260,intel uhd graphics,https://cellphones.com.vn/laptop-msi-modern-14-b11mou-851vn.html,,https://www.thegioididong.com/laptop/msi-modern-14-b11mol-i3-813vn?src=osp#top-tskt,3512,14740000,3.914569536,151,modern 14 b11mol 813vn,msi,intel,1115g4,8,256,14,60,39,windows 10,813vn,1920 x 1080,yes,2021,metal,1.3,yes,no,319,yes,ips,yes,no,ssd,yes,18.1,no,yes,219,2,intel
261,intel uhd graphics,https://cellphones.com.vn/laptop-hp-340s-g7-224l1pa.html,,https://www.thegioididong.com/laptop/hp-340s-g7-i3-224l1pa?src=osp#top-tskt,456,13740000,2.6,36,340s g7 224l1pa,hp,intel,1005g1,4,512,14,60,41,windows 10,224l1pa,1920 x 1080,yes,2020,plastic,1.346,no,no,324,yes,ips,yes,no,ssd,yes,17.9,yes,yes,225,2,intel
262,intel uhd graphics,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp470ea-ec027t.html,,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-eb638t?src=osp#top-tskt,861,14990000,4,78,vivobook x415ea eb638t,asus,intel,1115g4,4,512,14,60,37,windows 10,eb638t,1920 x 1080,yes,2020,plastic,1.55,no,no,325.4,yes,led,no,yes,ssd,yes,19.9,yes,yes,216,2,intel
263,intel uhd graphics,https://cellphones.com.vn/laptop-hp-240-g8-519a8pa.html,,https://www.thegioididong.com/laptop/hp-240-g8-i3-519a8pa?src=osp#top-tskt,62,13540000,,0,240 g8 519a8pa,hp,intel,1005g1,4,512,14,60,41,windows 10,519a8pa,1920 x 1080,yes,2021,plastic,1.47,no,yes,324,yes,ips,no,no,ssd,yes,19.9,yes,yes,225.9,2,intel
264,intel uhd graphics,https://cellphones.com.vn/laptop-hp-340s-g7-240q4pa.html,,https://www.thegioididong.com/laptop/hp-340s-g7-i3-240q4pa?src=osp#top-tskt,555,12990000,3.4,17,340s g7 240q4pa,hp,intel,1005g1,4,256,14,60,41,windows 10,240q4pa,1920 x 1080,yes,2020,plastic,1.38,no,no,324,yes,ips,yes,no,ssd,yes,17.9,yes,yes,225,2,intel
265,intel uhd graphics,https://cellphones.com.vn/laptop-hp-240-g8-342a3pa.html,,https://www.thegioididong.com/laptop/hp-240-g8-i3-519a7pa?src=osp#top-tskt,162,12340000,3.7,7,240 g8 519a7pa,hp,intel,1005g1,4,256,14,60,41,windows 10,519a7pa,1920 x 1080,yes,2021,plastic,1.47,no,yes,324,yes,ips,no,no,ssd,yes,19.9,yes,yes,225.9,2,intel
266,intel hd graphics 6000,https://cellphones.com.vn/apple-macbook-air-13-inch-128-gb-mqd32-chinh-hang.html,,,306,20000000,,0,macbook air i,apple,intel,i5,8,128,13.3,60,54,mac os,mqd32,1440 x 900,no,2017,,1.35,,no,325,,,yes,,ssd,no,17,no,yes,227,1,intel
267,nvidia geforce mx350,https://cellphones.com.vn/huawei-matebook-14.html,,,3,,,0,matebook 14,huawei,intel,10210u,8,512,14,60,56,windows 10,,2160 x 1440,yes,,,1.53,,no,307.5,,,no,,ssd,yes,15.9,yes,no,223.8,1,nvidia
268,nvidia geforce mx250,https://cellphones.com.vn/huawei-matebook-x.html,,,2,,,0,matebook x,huawei,intel,10210u,8,512,14,60,56,windows 10,,3000 x 2000,no,,,1.33,,no,304,,,no,,ssd,yes,14.6,yes,yes,217,1,nvidia
269,m1 7-core gpu,https://cellphones.com.vn/imac-2021.html,,,24,34500000,,0,imac 24 2021 m1 i,apple,apple,m1,8,256,24,60,,mac os,,4480 x 2520,no,2021,,4.46,,no,547,yes,ips,no,,ssd,yes,11.5,no,yes,461,1,m1
270,m1 7-core gpu,https://cellphones.com.vn/imac-2021-16gb.html,,,0,39000000,,0,imac 24 2021 m1,apple,apple,m1,16,256,24,60,,mac os,,4480 x 2520,no,2021,,4.46,,no,547,yes,ips,no,,ssd,no,11.5,no,yes,461,1,m1
271,m1 8-core gpu,https://cellphones.com.vn/imac-2021-8gpu.html,,,14,,,0,imac 24 2021 m1 i,apple,apple,m1,8,256,24,60,,mac os,,4480 x 2520,no,2021,,4.46,,no,547,yes,ips,no,,ssd,yes,11.5,no,yes,461,1,m1
272,m1 8-core gpu,https://cellphones.com.vn/imac-2021-8gpu-16gb.html,,,16,43000000,,0,imac 24 2021 m1 i,apple,apple,m1,16,256,24,60,,mac os,,4480 x 2520,no,2021,,4.46,,no,547,yes,ips,no,,ssd,yes,11.5,no,yes,461,1,m1
273,m1 8-core gpu,https://cellphones.com.vn/imac-2021-8gpu-16gb-512gb.html,,,7,50000000,,0,imac 24 2021 m1 i,apple,apple,m1,16,512,24,60,,mac os,,4480 x 2520,no,2021,,4.46,,no,547,yes,ips,no,,ssd,yes,11.5,no,yes,461,1,m1
274,m1 8-core gpu,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,,,2,44400000,5,1,imac 24 2021 m1 i,apple,apple,m1,8,512,24,60,,mac os,,4480 x 2520,no,2021,,4.46,,no,547,yes,ips,no,,ssd,yes,11.5,no,yes,461,1,m1
275,intel iris plus graphics 640,https://cellphones.com.vn/imac-21-5-inch-2020.html,,,14,23500000,,0,imac 21.5 2020,apple,intel,i5,8,256,21.5,60,,mac os,mhk03,1920 x 1080,yes,2020,,5.44,,yes,528,,ips,yes,,ssd,no,17.5,yes,yes,450,1,intel
276,amd radeon pro 560x,https://cellphones.com.vn/imac-21-5-inch-2020-4k-radeon-560x.html,,,3,29000000,,0,imac 21.5 2020,apple,intel,i5,8,256,21.5,60,,mac os,mhk33,4096 x 2304,yes,2020,,5.48,,yes,528,,ips,yes,,ssd,yes,17.5,yes,yes,450,1,amd
277,amd radeon pro 5300,https://cellphones.com.vn/imac-27-inch-2020-5k.html,,,0,39000000,,0,imac 27 2020,apple,intel,i5,8,256,27,60,,mac os,mxwt2,5120 x 2880,yes,2020,,8.92,,yes,,yes,ips,yes,,ssd,yes,,yes,yes,,1,amd
278,amd radeon pro 5300,https://cellphones.com.vn/imac-27-inch-2020-5k-512gb.html,,,0,52000000,,0,imac 27 2020,apple,intel,i5,8,512,27,60,,mac os,mxwu2,5120 x 2880,yes,2020,,8.92,,yes,650,,ips,yes,,ssd,yes,20.3,yes,yes,516,1,amd
279,amd radeon pro 5500 xt,https://cellphones.com.vn/imac-27-inch-2020-5k-i7-512gb-radeon-5500xt.html,,,0,60000000,,0,imac 27 2020,apple,intel,i7,8,512,27,60,,mac os,mxwv2,5120 x 2880,yes,2020,,8.92,,yes,,yes,ips,yes,,ssd,yes,,yes,yes,,1,amd
280,intel uhd graphics,https://cellphones.com.vn/laptop-acer-aspire-3-a315.html,,,187,13790000,,0,aspire 3 a315-56-502x nx.hs5sv.00f,acer,intel,1035g1,4,256,15.6,60,36,windows 10,nx.hs5sv.00f,1920 x 1080,yes,,,1.7,no,yes,363.4,yes,ips,no,,ssd,no,19.9,no,yes,247.5,1,intel
281,nvidia geforce mx330,https://cellphones.com.vn/laptop-acer-aspire-3-a315-57g-31yd.html,,,23,13290000,5,1,aspire 3 a315-57g-31yd nx.hzrsv.008,acer,intel,1005g1,4,256,15.6,60,36,windows 10,nx.hzrsv.008,1920 x 1080,yes,,plastic,1.9,no,no,363.4,yes,,yes,,ssd,yes,19.95,no,yes,250.5,1,nvidia
282,nvidia geforce mx330,https://cellphones.com.vn/laptop-acer-aspire-3-a315-57g-524z.html,,,63,16490000,4,1,aspire 3 a315-57g-524z nx.hzrsv.009,acer,intel,1035g1,8,512,15.6,60,36,windows 10,nx.hzrsv.009,1920 x 1080,yes,,,1.9,,no,363.4,yes,,no,,ssd,yes,19.95,no,yes,250.5,1,nvidia
283,intel uhd graphics 605,https://cellphones.com.vn/laptop-acer-aspire-3-a315-pentium-n5030.html,,,4,,,0,aspire 3 a315-34-p26u nx.he3sv.00h,acer,intel,n5030,4,256,15.6,60,36,windows 10,nx.he3sv.00h,1366 x 768,yes,,plastic,1.7,no,yes,363.4,yes,,no,,ssd,no,19.9,no,yes,247.5,1,intel
284,intel uhd graphics,https://cellphones.com.vn/laptop-acer-aspire-5-a514.html,,,18,,,0,aspire 5 a514-54-39ku nx.a23sv.003,acer,intel,1115g4,4,256,14,60,48,windows 10,nx.a23sv.003,1920 x 1080,yes,,,1.5,,no,328.8,yes,,no,,ssd,yes,17.95,yes,yes,236,1,intel
285,intel iris xe graphics,https://cellphones.com.vn/laptop-acer-aspire-5-a514-i5-ram-8gb.html,,,69,,,0,aspire 5 a514-54-51rb nx.a2asv.003,acer,intel,1135g7,8,256,14,60,48,windows 10,nx.a2asv.003,1920 x 1080,yes,,,1.46,,yes,328,yes,,no,yes,ssd,no,17.95,yes,yes,233,1,intel
286,intel iris xe graphics,https://cellphones.com.vn/laptop-acer-aspire-5-a514-i5-ram-8gb-ssd-512gb-den-ban-phim.html,,,141,18390000,5,4,aspire 5 a514-54-540f nx.a28sv.005,acer,intel,1135g7,8,512,14,60,48,windows 10,nx.a28sv.005,1920 x 1080,yes,,,1.45,yes,yes,328,yes,ips,no,,ssd,no,17.95,yes,yes,233,1,intel
287,intel uhd graphics,https://cellphones.com.vn/laptop-acer-aspire-5-a515-55-35se.html,,,36,12190000,,0,aspire 5 a515-55-35se,acer,intel,1005g1,4,128,15.6,60,,windows 10,,1920 x 1080,yes,,,,yes,no,,yes,ips,no,,ssd,no,,yes,yes,,1,intel
288,intel uhd graphics,https://cellphones.com.vn/laptop-acer-aspire-5-a515-56-36ut.html,,,0,12590000,,0,aspire 5 a515-56-36ut,acer,intel,1115g4,4,128,15.6,60,,windows 10,,,yes,,,,,yes,,yes,,no,,ssd,no,,yes,yes,,1,intel
289,intel iris xe graphics,https://cellphones.com.vn/laptop-acer-aspire-5-a515-i5-1135g7.html,,,69,,5,1,aspire 5 a515-56-54pk nx.a1gsv.002,acer,intel,1135g7,8,512,15.6,60,48,windows 10,nx.a1gsv.002,1920 x 1080,yes,,,1.65,,yes,363.4,yes,,no,yes,ssd,yes,17.9,yes,yes,238.5,1,intel
290,nvidia geforce mx350,https://cellphones.com.vn/laptop-acer-aspire-5-a515-i5-1135g7-vga-2gb.html,,,65,16990000,,0,asipre 5 a515-56g-51yl nx.a1lsv.002,acer,intel,1135g7,8,512,15.6,60,48,windows 10,nx.a1lsv.002,1920 x 1080,yes,,,1.7,,yes,363.4,yes,,no,yes,ssd,no,17.9,yes,yes,238.5,1,nvidia
291,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-acer-aspire-7-a715-42g-r1sb.html,,,2,20490000,,0,gaming aspire 7 a715-42g-r1sb nh.qaysv.005,acer,amd,5500u,8,256,15.6,144,48,windows 10,nh.qaysv.005,1920 x 1080,yes,,,2.1,yes,yes,363.4,yes,ips,yes,,ssd,yes,22.9,yes,yes,254.5,1,nvidia
292,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-ryzen-7-ssd-512gb.html,,,158,19160000,,0,gaming aspire 7 a715-41g-r150,acer,amd,3750h,8,512,15.6,60,48,windows 10,,1920 x 1080,yes,,,2.1,,yes,363.4,yes,,no,,ssd,no,23.25,yes,yes,254.5,1,nvidia
