ID,GPU,Index_cellphones,Index_fpt,Index_tgdd,Comment_count,Price,Rating,Rating_count,Series,Brand,cpu_brand,cpu_code,ram_size,storage_size,displ_size,displ_rate,Battery,OS,P/N,displ_resolution,hdmi,Release_year,Surface,Weight,backlit_keyboard,lan,length,ram_upgradable,screen_technology,sd_card,storage_extra_slot,storage_type,headphone_jack,thickness,type_c,usb_a,width,Availabe_in,GPU_brand
183,intel uhd graphics,https://cellphones.com.vn/laptop-dell-inspiron-3501-i3-1115g4.html,28,https://www.thegioididong.com/laptop/dell-inspiron-3501-i3-n3501c?src=osp#top-tskt,1266,14879666.67,3.583333333,12,inspiron 3501 p90f005n3501c,dell,intel,1115g4,4,256,15.6,60,42,windows 10,p90f005n3501c,1920 x 1080,yes,2020,plastic,1.96,no,yes,363.96,yes,va,yes,no,ssd,yes,19.9,no,yes,249,3,intel
184,intel uhd graphics,https://cellphones.com.vn/laptop-hp-pavilion-15-eg0514tu-46m13pa.html,29,https://www.thegioididong.com/laptop/hp-pavilion-15-eg0542tu-i3-4p5g9pa?src=osp#top-tskt,698,14826333.33,4.1,24,pavilion 15 eg0542tu 4p5g9pa,hp,intel,1125g4,4,256,15.6,60,41,windows 11,4p5g9pa,1920 x 1080,yes,2021,metal,1.682,no,no,360.2,yes,ips,yes,no,ssd,yes,17.9,yes,yes,234,3,intel
185,amd radeon vega 8,https://cellphones.com.vn/laptop-dell-vostro-3405-ryzen-5-ram-4gb-ssd-256gb.html,31,https://www.thegioididong.com/laptop/dell-vostro-3405-r5-v4r53500u001w?src=osp#top-tskt,1042,16226333.33,4.7,4,vostro 3405 v4r53500u001w,dell,amd,3500u,4,256,14,60,42,windows 10,v4r53500u001w,1920 x 1080,yes,2020,plastic,1.7,no,yes,328.7,yes,va,yes,yes,ssd,yes,19.9,no,yes,239.5,3,amd
186,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg363t.html,32,https://www.thegioididong.com/laptop/asus-zenbook-ux325ea-i5-kg363t?src=osp#top-tskt,1345,23726333.33,3.956521739,23,zenbook ux325ea kg363t,asus,intel,1135g7,8,512,13.3,60,67,windows 10,kg363t,1920 x 1080,yes,2021,metal,1.14,yes,no,304.2,no,oled,yes,no,ssd,no,13.9,yes,yes,203,3,intel
187,intel uhd graphics,https://cellphones.com.vn/laptop-dell-vostro-3400-70253899.html,33,https://www.thegioididong.com/laptop/dell-vostro-3400-i3-70253899?src=osp#top-tskt,349,15659666.67,1.5,5,vostro 3400 70253899,dell,intel,1115g4,8,256,14,60,42,windows 10,70253899,1920 x 1080,yes,2021,plastic,1.64,no,yes,328.7,yes,va,yes,yes,ssd,yes,19.9,no,yes,239.5,3,intel
188,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74rd.html,36,https://www.thegioididong.com/laptop/acer-nitro-gaming-an515-57-727j-i7-nhqd9sv005?src=osp#top-tskt,1374,27606333.33,3.786666667,15,nitro 5 gaming an515 57 727j nh.qd9sv.005,acer,intel,11800h,8,512,15.6,144,57,windows 10,nh.qd9sv.005,1920 x 1080,yes,2021,plastic,2.2,yes,yes,363.4,yes,ips,no,yes,ssd,yes,23.9,yes,yes,255,3,nvidia
189,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-acer-predator-helios-300-ph315-54-75yd.html,37,https://www.thegioididong.com/laptop/acer-predator-helios-ph315-54-75yd-i7-nhqc2sv002?src=osp#top-tskt,181,38826333.33,5,1,predator helios ph315 54 75yd nh.qc2sv.002,acer,intel,11800h,16,512,15.6,165,59,windows 10,nh.qc2sv.002,2560 x 1440,yes,2021,"metal, plastic",2.3,yes,yes,363,yes,ips,no,yes,ssd,yes,22.9,yes,yes,255,3,nvidia
190,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-msi-katana-gf66-11uc-641vn.html,41,https://www.thegioididong.com/laptop/msi-gf66-11uc-i7-224vn?src=osp#top-tskt,127,29293000,3,5,katana gaming gf66 11uc 224vn,msi,intel,11800h,8,512,15.6,144,53,windows 10,224vn,1920 x 1080,yes,2021,plastic,2.1,yes,yes,359,yes,ips,no,no,ssd,yes,24.9,yes,yes,259,3,nvidia
191,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki439t.html,46,https://www.thegioididong.com/laptop/asus-zenbook-ux425ea-i7-ki439t?src=osp#top-tskt,526,30026333.33,5,2,zenbook ux425ea ki439t,asus,intel,1165g7,16,512,14,60,67,windows 10,ki439t,1920 x 1080,yes,2020,metal,1.17,yes,no,319,no,ips,yes,no,ssd,no,13.9,yes,yes,208,3,intel
192,intel iris xe graphics,https://cellphones.com.vn/laptop-msi-summit-e13-flip-evo-a11mt-211vn.html,49,https://www.thegioididong.com/laptop/msi-summit-e13-flip-i7-211vn?src=osp#top-tskt,46,38659666.67,,0,summit e13 flip 211vn,msi,intel,1185g7,16,1024,13.4,60,70,windows 10,211vn,1920 x 1200,no,2021,metal,1.35,yes,no,300.2,no,ips,yes,no,ssd,yes,14.9,yes,yes,222.25,3,intel
193,nvidia geforce gtx 1650 max-q,https://cellphones.com.vn/laptop-msi-prestige-15-a11scx-209vn.html,50,https://www.thegioididong.com/laptop/msi-prestige-15-a11sc-i7-052vn?src=osp#top-tskt,47,33799666.67,,0,prestige 15 a11sc 052vn,msi,intel,1185g7,16,512,15.6,60,82,windows 10,052vn,1920 x 1080,yes,2021,metal,1.69,yes,no,356.8,yes,ips,yes,yes,ssd,yes,16.9,yes,yes,233.7,3,nvidia
194,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-flip-ux363ea-hp548t.html,53,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i7-hp163t?src=osp#top-tskt,76,33159666.67,,0,zenbook flip ux363ea hp163t,asus,intel,1165g7,16,512,13.3,60,67,windows 10,hp163t,1920 x 1080,yes,2021,metal,1.3,yes,no,305,no,oled,no,no,ssd,no,11.9,yes,yes,211,3,intel
195,intel iris xe graphics,https://cellphones.com.vn/laptop-hp-240-g8-518v7pa.html,54,https://www.thegioididong.com/laptop/hp-240-g8-i5-518v7pa?src=osp#top-tskt,261,18193000,3,5,240 g8 518v7pa,hp,intel,1135g7,8,512,14,60,41,windows 10,518v7pa,1920 x 1080,yes,2021,plastic,1.426,no,yes,324,yes,ips,no,yes,ssd,yes,19.9,yes,yes,225.9,3,intel
196,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-ux371ea-hl494ts.html,73,https://www.thegioididong.com/laptop/asus-zenbook-ux371ea-i7-hl494ts?src=osp#top-tskt,10,40893000,,0,zenbook ux371ea hl494ts,asus,intel,1165g7,16,1024,13.3,60,67,windows 10,hl494ts,3840 x 2160,yes,2021,metal,1.2,yes,no,305,no,ips,no,no,ssd,no,13.9,yes,yes,211,3,intel
197,m1 8-core gpu,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,74,https://www.thegioididong.com/laptop/apple-macbook-pro-m1-2020-z11b000ct?src=osp#top-tskt,467,40163000,4.5,6,macbook pro m1 2020,apple,apple,m1,16,256,13.3,60,58,mac os,z11d000e5,2560 x 1600,no,2020,metal,1.4,yes,no,304.1,no,ips,no,no,ssd,yes,15.6,yes,no,212.4,3,m1
198,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-ux482ea-ka268t.html,76,https://www.thegioididong.com/laptop/asus-zenbook-duo-ux482ea-i7-ka268t?src=osp#top-tskt,16,39093000,,0,zenbook duo ux482ea ka268t,asus,intel,1165g7,16,1024,14,60,70,windows 10,ka268t,1920 x 1080,yes,2021,metal,1.62,yes,no,324,no,ips,yes,no,ssd,yes,17.3,yes,yes,222,3,intel
