,title,price,rating,review_count,cmt_count,cpu_name,cpu_ncores,cpu_nthreads,cpu_basefreq,cpu_turbofreq,cpu_cache,ram_size,ram_type,ram_clock,ram_upgradable,storage,gpu,battery,displ_size,displ_resolution,displ_rate,displ_tech,displ_touchscreen,sound,ports,sd_card,wless_connect,webcam,special,backlight_key,weight_dims,surface,os,launch,url
88,Laptop Acer Swift 5 SF514 53T 720R i7 8565U/8GB/256GB/Touch/Win10 (NX.H7HSV.002),27.990.000₫,,,102 bình luận|5 bình luận,Intel Core i7 Coffee Lake|Intel Core i7 Coffee Lake - 8565U,4,8,1.80 GHz,Turbo Boost 4.6 GHz,8 MB,8 GB,DDR4 (1 khe),2133 MHz,Không hỗ trợ nâng cấp,SSD 256 GB NVMe PCIe,Card tích hợp|Intel UHD Graphics 620|Card tích hợp - Intel UHD Graphics 620,2-cell Li-Polymer,14 inch,Full HD (1920 x 1080),,Tấm nền IPS,Có,Acer TrueHarmony|Dolby AudioPremium,HDMI|2 x USB 3.0|USB Type-C|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Bảo mật vân tay,Có,Dài 329 mm - Rộng 228 mm - Dày 14.9 mm - Nặng 0.94 kg,Nhôm - Magie,Windows 10 Home SL,2018,https://www.thegioididong.com/laptop/acer-swift-sf5-i7-8565u-8gb-256gb-win10?src=osp#top-tskt
89,Laptop Asus ZenBook Flip UX363EA i5 1135G7/8GB/512GB/Touch/Pen/Cáp/Túi/Win11 (HP726W),27.990.000₫,,,7 bình luận|,Intel Core i5 Tiger Lake|1135G7|Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,Card tích hợp|Intel Iris Xe Graphics|Card tích hợp - Intel Iris Xe Graphics,"4-cell Li-ion, 67 Wh",13.3 inch,Full HD (1920 x 1080) OLED,60 Hz,100% DCI-P3|550 nits|OLED,Có,Audio by Harman/Kardon|SonicMaster audio,1 x USB 3.2|2 x Thunderbolt 4 USB-C|HDMI|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),Camera IR|HD webcam,Màn hình gập 360 độ|Mở khóa khuôn mặt|Numberpad|Tiêu chuẩn Nền Intel Evo|Độ bền chuẩn quân đội MIL STD 810G,Có,Dài 305 mm - Rộng 211 mm - Dày 11.9 mm - Nặng 1.3 kg,Vỏ kim loại nguyên khối,Windows 11 Home SL,2021,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i5-hp726w?src=osp#top-tskt
90,Laptop Lenovo Yoga Slim 7 14ITL05 i7 1165G7/8GB/512GB/Win10 (82A300DQVN),27.990.000₫,,,bình luận|1 bình luận,Intel Core i7 Tiger Lake|1165G7|Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,Card tích hợp|Intel Iris Xe Graphics|Card tích hợp - Intel Iris Xe Graphics,"4-cell, 60.7 Wh",14 inch,Full HD (1920 x 1080),60 Hz,100% sRGB|300 nits Glossy|Tấm nền IPS,,Dolby Atmos|Stereo speakers,1 x USB 3.2|1 x USB 3.2 (Always on)|2 x Thunderbolt 4 USB-C|HDMI|Jack tai nghe 3.5 mm,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),Camera IR|HD webcam,Bản lề mở 180 độ|Bảo mật vân tay|Mở khóa khuôn mặt|Tiêu chuẩn Nền Intel Evo|TPM 2.0,Có,Dài 320.6 mm - Rộng 208.18 mm - Dày 14.9 mm - Nặng 1.36 kg,Vỏ kim loại,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-14itl05-i7-82a300dqvn?src=osp#top-tskt
91,Laptop Asus ZenBook Flip UX363EA i5 1135G7/8GB/512GB/Touch/Pen/Cáp/Túi/Win10 (HP532T),27.990.000₫,,,4 bình luận|,Intel Core i5 Tiger Lake|1135G7|Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,Card tích hợp|Intel Iris Xe Graphics|Card tích hợp - Intel Iris Xe Graphics,"4-cell Li-ion, 67 Wh",13.3 inch,Full HD (1920 x 1080) OLED,60 Hz,100% DCI-P3|550 nits|OLED,Có,Audio by Harman/Kardon|SonicMaster audio,1 x USB 3.2|2 x Thunderbolt 4 USB-C|HDMI|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),Camera IR|HD webcam,Màn hình gập 360 độ|Mở khóa khuôn mặt|Numberpad|Tiêu chuẩn Nền Intel Evo|Độ bền chuẩn quân đội MIL STD 810G,Có,Dài 305 mm - Rộng 211 mm - Dày 11.9 mm - Nặng 1.3 kg,Vỏ kim loại nguyên khối,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i5-hp532t?src=osp#top-tskt
92,Laptop Apple MacBook Air M1 2020 8GB/256GB/7-core GPU (MGN63SA/A),28.990.000₫,4.5,45 đánh giá,1.075 bình luận|139 bình luận,Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,Card tích hợp|Card tích hợp - 7 nhân GPU,Khoảng 10 tiếng,13.3 inch,Retina (2560 x 1600),,400 nits|Công nghệ IPS|LED Backlit|True Tone Technology,,3 microphones|Headphones|Loa kép (2 kênh),2 x Thunderbolt 3 (USB-C)|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Mac OS,2020,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa?src=osp#top-tskt
93,Laptop Asus TUF Gaming FX706HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HX003T),26.990.000₫,3.5,24 đánh giá,154 bình luận|36 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,SSD 512 GB NVMe PCIe|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","3-cell Li-ion, 48 Wh",17.3 inch,Full HD (1920 x 1080),144 Hz,Tấm nền IPS|Chống chói Anti Glare|250 nits,,DTS Audio,Jack tai nghe 3.5 mm|Thunderbolt 4 USB-C|3 x USB 3.2|HDMI|LAN (RJ45),,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm - Nặng 2.6 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx706hc-i5-hx003t?src=osp#top-tskt
94,Laptop Dell Inspiron 14 5410 i5 1155G7/8GB/512GB/2GB MX350/Touch/Pen/Office H&S2019/Win10 (N4I5547W),27.290.000₫,,,17 bình luận|,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 1155G7,4,8,2.50 GHz,Turbo Boost 4.5 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Card rời|NVIDIA GeForce MX350, 2 GB|Card rời - NVIDIA GeForce MX350, 2 GB","3-cell Li-ion, 41 Wh",14 inch,Full HD (1920 x 1080),60 Hz,WVA,Có,Stereo speakers,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|USB Type-C (Power Delivery and DisplayPort),Micro SD,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Bảo mật vân tay|Màn hình gập 360 độ,Có,Dài 321 mm - Rộng 211 mm - Dày 18 mm - Nặng 1.65 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021,https://www.thegioididong.com/laptop/dell-inspiron-14-5410-i5-n4i5547w?src=osp#top-tskt
95,Laptop Gigabyte G5 i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (GD-51S1123SH),26.990.000₫,,,3 bình luận|,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","4-cell Li-ion, 41 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|Công nghệ IPS,,DTS X:Ultra Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|Mini DisplayPort|USB 2.0|USB Type-C,SD,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/gigabyte-g5-i5-gd51s1123sh?src=osp#top-tskt
96,Laptop Acer Nitro 5 Gaming AN515 57 50FT i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (NH.QD8SV.003),27.490.000₫,3.9,25 đánh giá,325 bình luận|52 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","4-cell Li-ion, 57 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-50ft-i5-nhqd8sv003?src=osp#top-tskt
97,Laptop Asus VivoBook Pro 15 OLED M3500QC R5 5600H/8GB/512GB/4GB RTX3050/Win10 (L1105T),26.590.000₫,,,2 bình luận|,AMD Ryzen 5|5600H|AMD Ryzen 5 - 5600H,6,12,3.30 GHz,Turbo Boost 4.2 GHz,16 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","3-cell Li-ion, 63 Wh",15.6 inch,Full HD (1920 x 1080) OLED,60 Hz,0.2ms response time|100% DCI-P3|OLED|SGS Eye Care Display|VESA CERTIFIED Display HDR True Black 600|Độ sáng 600nits,,Audio by Harman/Kardon,1 x USB 3.2|2 x USB 2.0|HDMI|Jack tai nghe 3.5 mm|USB Type-C,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),HD webcam,Bảo mật vân tay|Công tắc khóa camera,Có,Dài 359.8 mm - Rộng 235.3 mm - Dày 19.9 mm - Nặng 1.65 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-m3500qc-r5-l1105t?src=osp#top-tskt
98,Laptop Lenovo Yoga Duet 7 13IML05 i5 10210U/8GB/512GB/Touch/Pen/Win10 (82AS007BVN),25.240.000₫ *,3.3,11 đánh giá,75 bình luận|6 bình luận,Intel Core i5 Comet Lake|10210U|Intel Core i5 Comet Lake - 10210U,4,8,1.60 GHz,Turbo Boost 4.2 GHz,6 MB,8 GB,DDR4 (On board),2666 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,Card tích hợp|Intel UHD Graphics|Card tích hợp - Intel UHD Graphics,"Li-Polymer, 42 Wh",13 inch,WQHD (2160x1350),,450 nits Glossy|Dolby Vision|Tấm nền IPS,Có,Dolby AudioPremium,2 x USB Type-C (Power Delivery and DisplayPort)|Jack tai nghe 3.5 mm|USB Type-C,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),"Camera IR|Sau 5 MP, trước 5 MP",Mở khóa khuôn mặt|Digital Pen,Có,Dài 297.4 mm - Rộng 207.4 mm - Dày 9.19 mm - Nặng 1.1683 kg,Vỏ kim loại,Windows 10 Home SL,2020,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13iml05-i5-82as007bvn?src=osp#top-tskt
99,Laptop Dell Inspiron 15 3511 i7 1165G7/8GB/512GB/2GB MX350/Office H&S/Win10 (70267062),26.490.000₫,,,2 bình luận|,Intel Core i7 Tiger Lake|1165G7|Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (2 khe),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)","Card rời|NVIDIA GeForce MX350, 2 GB|Card rời - NVIDIA GeForce MX350, 2 GB","3-cell Li-ion, 41 Wh",15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare|LED Backlight|WVA,,Realtek ALC3204|Realtek Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|USB 2.0,SD,Bluetooth 5.0|Wi-Fi 802.11 a/b/g/n/ac,HD webcam,,Không có đèn,Dài 359 mm - Rộng 235.5 mm - Dày 19 mm - Nặng 1.73 kg,Vỏ nhựa,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i7-70267062?src=osp#top-tskt
100,Laptop Asus TUF Gaming FX506HCB i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN139T),25.990.000₫,3.5,10 đánh giá,163 bình luận|36 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,SSD 512 GB NVMe PCIe|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB),"Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","3-cell Li-ion, 48 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|LED Backlit|Tấm nền IPS,,DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn139t?src=osp#top-tskt
101,Laptop Asus TUF Gaming FX506HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN002T),25.990.000₫,5,9 đánh giá,326 bình luận|34 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2933 MHz,32 GB,SSD 512 GB NVMe PCIe|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","3-cell Li-ion, 48 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Tấm nền IPS|Chống chói Anti Glare,,DTS X:Ultra Audio,Jack tai nghe 3.5 mm|Thunderbolt 4 USB-C|3 x USB 3.2|HDMI|LAN (RJ45),,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2020,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hc-i5-hn002t?src=osp#top-tskt
102,Laptop Gigabyte Gaming G5 i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (51S1121SH),26.990.000₫,,,22 bình luận|2 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","4-cell Li-ion, 41 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|Công nghệ IPS,,DTS X:Ultra Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|Mini DisplayPort|USB 2.0|USB Type-C,SD,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/gigabyte-g5-i5-51s1121sh?src=osp#top-tskt
103,Laptop Acer Nitro 5 Gaming AN515 57 54MV i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.003),26.490.000₫,,,276 bình luận|36 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","4-cell Li-ion, 57.5 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 11 Home SL,2021,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-54mv-i5-nhqensv003?src=osp#top-tskt
104,Laptop MSI Gaming Bravo 15 B5DD R7 5800H/8GB/512GB/4GB RX5500M/Balo/Chuột/Win11 (278VN),25.490.000₫,,,bình luận|1 bình luận,AMD Ryzen 7|AMD Ryzen 7 - 5800H,8,16,3.20 GHz,Turbo Boost 4.4 GHz,16 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)|Không hỗ trợ khe cắm HDD","Card rời|Card rời - AMD Radeon RX 5500M, 4GB","3-cell, 52 Wh",15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare|Công nghệ IPS,,Hi-Res Audio|Nahimic Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0|USB Type-C,,Bluetooth 5.1|Wi-Fi 6E (802.11ax),HD webcam,,Có,Dài 359 mm - Rộng 259 mm - Dày 24.95 mm - Nặng 2.35 kg,Vỏ nhựa,Windows 11 Home SL,2021,https://www.thegioididong.com/laptop/msi-gaming-bravo-15-b5dd-r7-278vn?src=osp#top-tskt
105,Laptop Dell Vostro 3400 i7 1165G7/8GB/512GB/2GB MX330/Win10 (V4I7015W),25.990.000₫,3,3 đánh giá,133 bình luận|28 bình luận,Intel Core i7 Tiger Lake|1165G7|Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (2 khe),3200 MHz,16 GB,SSD 512 GB NVMe PCIe|Hỗ trợ khe cắm HDD SATA,"Card rời|NVIDIA GeForce MX330, 2 GB|Card rời - NVIDIA GeForce MX330, 2 GB","3-cell Li-ion, 42 Wh",14 inch,Full HD (1920 x 1080),,60Hz|Chống chói Anti Glare|LED Backlit|WVA,,Realtek High Definition Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0|USB Type-C,SD,Bluetooth 5.0|Wi-Fi 802.11 a/b/g/n/ac,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,Windows 10 Home SL,2020,https://www.thegioididong.com/laptop/dell-vostro-3400-i7-v4i7015w?src=osp#top-tskt
106,Laptop Lenovo Ideapad Gaming 3 15IMH05 i7 10750H/8GB/512GB/4GB GTX1650Ti/120Hz/Win10 (81Y4013UVN),26.990.000₫,4,12 đánh giá,238 bình luận|33 bình luận,Intel Core i7 Comet Lake|10750H|Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,8 GB,DDR4 (2 khe),2933 MHz,16 GB,SSD 512 GB NVMe PCIe|Hỗ trợ khe cắm HDD SATA,Card rời|NVIDIA GeForce GTX 1650Ti 4 GB|Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,45 Wh,15.6 inch,Full HD (1920 x 1080),120 Hz,Tấm nền IPS|Chống chói Anti-Glare|250 nits,,Dolby Audio,Jack tai nghe 3.5 mm|2 x USB 3.2|HDMI|LAN (RJ45)|USB Type-C,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),HD webcam,Công tắc khóa camera,Có,Dài 359 mm - Rộng 249.6 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2020,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15imh05-i7-81y4013uvn?src=osp#top-tskt
107,Laptop Asus ZenBook UX325EA i5 1135G7/8GB/512GB/OLED/Cáp/Túi/Win11 (KG538W),24.290.000₫,,,bình luận|,Intel Core i5 Tiger Lake|1135G7|Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card tích hợp|Intel Iris Xe Graphics|Card tích hợp - Intel Iris Xe Graphics,"4-cell Li-ion, 67 Wh",13.3 inch,Full HD (1920 x 1080) OLED,60 Hz,0.2ms response time|100% DCI-P3|550 nits|OLED|SGS Eye Care Display,,Audio by Harman/Kardon,1 x USB 3.2|2 x Thunderbolt 4 USB-C|HDMI,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),Camera IR|HD webcam,Mở khóa khuôn mặt|Numberpad 2.0|Tiêu chuẩn Nền Intel Evo|Độ bền chuẩn quân đội MIL STD 810G,Có,Dài 304.2 mm - Rộng 203 mm - Dày 13.9 mm - Nặng 1.14 kg,Vỏ kim loại nguyên khối,Windows 11 Home SL,2021,https://www.thegioididong.com/laptop/asus-zenbook-ux325ea-i5-kg538w?src=osp#top-tskt
108,Laptop MSI Gaming Bravo 15 B5DD R7 5800H/8GB/512GB/4GB RX5500M/144Hz/Balo/Chuột/Win10 (083VN),24.990.000₫,,,91 bình luận|11 bình luận,AMD Ryzen 7|AMD Ryzen 7 - 5800H,8,16,3.20 GHz,Turbo Boost 4.4 GHz,16 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)|Không hỗ trợ khe cắm HDD","Card rời|Card rời - AMD Radeon RX 5500M, 4GB","3-cell, 52 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|Công nghệ IPS,,Hi-Res Audio|Nahimic Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 359 mm - Rộng 259 mm - Dày 24.95 mm - Nặng 2.35 kg,Vỏ nhựa,Windows 10 Home,2021,https://www.thegioididong.com/laptop/msi-gaming-bravo-15-b5dd-r7-083vn?src=osp#top-tskt
