P/N,rating,rating_count,comment_count,Brand,Series,price,cpu_brand,cpu_code,RAM,RAM_upgradable,GPU,battery_wh,storage_type,storage_size,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
NH.QD9SV.001,5.0,1.0,598.0,Acer,Nitro Gaming AN515-57-74NU/i7-11800H,28499000,Intel,11800H,8,Yes,NVIDIA GeForce RTX 3050Ti 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
852VN,5.0,1.0,340.0,MSI,Modern 14 B11MOU 852VN i5 1155G7/852VN,18799000,Intel,1155G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,IPS LCD,1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5.0,1.0,116.0,Dell,Inspiron N3511 i3 1115G4/P112F001ABL,15299000,Intel,1115G4,4,Yes,Intel UHD Graphics,65 W,SSD,256,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V5I3001W,5.0,2.0,788.0,Dell,Vostro V3500 i3 1115G4,15599000,Intel,1115G4,8,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.98,368,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H80040VN,5.0,4.0,378.0,Lenovo,IdeaPad Slim 3 15ITL6 i3 1115G4,14999000,Intel,1115G4,8,Yes,Intel UHD Graphics,--,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.65,359,237.7,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5.0,1.0,60.0,Dell,Inspiron N3511 i5 1135G7/P112F001BBL,19999000,Intel,1135G7,4,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82FG00R0VN,5.0,5.0,1244.0,Lenovo,Ideapad Slim 5 15ITL05 i5 1135G7,18799000,Intel,1135G7,16,Yes,Intel Iris Xe Graphics,45 W,SSD,512,Yes,15.6,1920 x 1080,--,"IPS LCD LED Backlit, True Tone",1.66,356.67,233.13,17.9,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
481VN,5.0,1.0,871.0,MSI,Gaming GF63 Thin 10SC-481VN i7 10750H,22309000,Intel,10750H,8,Yes,NVIDIA GeForce GTX1650 Max Q 4GB,120 W,SSD,512,Yes,15.6,1920 x 1080,144,IPS LCD,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
P106F003ASL,5.0,1.0,558.0,Dell,Inspiron N5515 R5 5500U/P106F003ASL,18999000,Intel,5500U,8,Yes,AMD Radeon RX Graphics Vega 7,65 W,SSD,256,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.75,356,228,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21A2004BVN,3.0,2.0,177.0,Lenovo,ThinkBook 14 G3 ACL R7 5700U/21A2004BVN,19999000,AMD,5700U,8,Yes,AMD Radeon Graphics,45 W,SSD,512,Yes,14.0,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.4,323,217.5,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253900,5.0,1.0,298.0,Dell,Vostro V3400 i5 1135G7/70253900,18899000,Intel,1135G7,8,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,14.0,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.86,359,254,21.7,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
A515EA-L11970T,5.0,1.0,365.0,Asus,Vivobook A515EA-L11970T/i5-1135G7,19999000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,15.6,1920 x 1080,60,OLED,1.8,359,235,--,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD9SV.002,5.0,4.0,344.0,Acer,Nitro Gaming AN515-57-57MX/i5-11400H,26124000,Intel,11400H,8,Yes,Nvidia Geforce RTX3050Ti 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
697VN,5.0,1.0,32.0,MSI,Gaming Katana GF66 11UD 697VN i7 11800H,30069000,Intel,11800H,8,Yes,NVIDIA GeForce  GTX 3050 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.1,359,--,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NK,5.0,1.0,65.0,Dell,Inspiron N3502 N4020/NK,10999000,Intel,N4020,4,Yes,Intel UHD Graphics 600,45 W,SSD,128,Yes,15.6,1366 x 768,60,--,1.83,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020,5.0,1.0,146.0,Dell,Inspiron N3505 R5 3450U,17999000,AMD,3450U,8,Yes,AMD Radeon Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,Wide-Viewing Angle (WVA),1.98,363.96,249,18 ~ 19.90,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021,5.0,1.0,268.0,Dell,Inspiron N3510 Celeron N4020,10999000,Intel,N4020,4,Yes,Intel UHD Graphics 600,65 W,SSD,128,Yes,15.6,1366 x 768,60,LED-backlit,1.65,358.5,235,0.41 ~ 15.6,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021,5.0,1.0,165.0,Dell,Inspiron N3510 Pentium N5030,11699000,Intel,N5030,4,Yes,Intel UHD Graphics 605,65 W,SSD,128,Yes,15.6,1366 x 768,60,Wide-Viewing Angle (WVA),1.65,358.5,235,18.9,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
286VN,5.0,2.0,214.0,MSI,Gaming GF65 10UE 286VN i5 10500H,28199000,Intel,10500H,16,Yes,NVIDIA GeForce RTX 3060 Max- Q 6GB,180 W,SSD,512,Yes,15.6,1920 x 1080,144,--,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
NH.QENSV.003,5.0,1.0,312.0,Acer,Nitro Gaming AN515-57-54MV/i5-11400H,25174000,Intel,11400H,8,Yes,Nvidia Geforce RTX3050 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,Acer ComfyView LED-backlit,2.2,363,255,23.9,Windows 11,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
4U6M4PA,5.0,1.0,43.0,HP,Envy 13 ba1535TU i7 1165G7/4U6M4PA,29019000,Intel,1165G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,13.3,1920 x 1080,60,--,1.23,306,194.5,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
YX51W3,5.0,1.0,30.0,Dell,Vostro V3400 i5 1135G7/YX51W3,21329000,Intel,1135G7,8,Yes,NVIDIA GeForce MX330 2GB,65 W,,512,Yes,14.0,1920 x 1080,60,Wide-Viewing Angle (WVA),1.55,320.5,232.8,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V4R53500U003W,5.0,1.0,516.0,Dell,Vostro V3405 R5 3500U,18499000,AMD,3500U,8,Yes,AMD Radeon Graphics,45 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.79,--,--,--,Windows 10,--,2020,Yes,Yes,Yes,Yes,Yes,Yes,No
096VN,5.0,1.0,53.0,MSI,Gaming Katana GF76 11UC 096VN i7 11800H,29399000,Intel,11800H,8,Yes,NVIDIA® GeForce® RTX3050 4GB,150 W,SSD,512,Yes,17.3,1920 x 1080,144,--,2.6,397,275,25,Windows 10,ABS plastic,--,Yes,Yes,Yes,Yes,Yes,No,No
NX.HS5SV.001,4.0,38.0,1768.0,Acer,Aspire 3 A315 56 37DV i3 1005G1/Đen/NX.HS5SV.001,12199000,Intel,1005G1,4,Yes,Intel UHD Graphics,--,SSD,256,Yes,15.6,1920 x 1080,60,LED-backlit,1.7,--,--,--,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H80044VN,5.0,1.0,293.0,Lenovo,IdeaPad Slim 3 15ITL6 i5 1135G7,17999000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,--,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.65,359,237.7,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82A30071VN,2.0,3.0,421.0,Lenovo,Yoga Slim 7 14ITL05 i5 1135G7,23499000,Intel,1135G7,16,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.36,320.5,208.5,14.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QAYSV.004,4.0,5.0,1442.0,Acer,Aspire Gaming A715-42G-R4ST/R5-5500U,19999000,AMD,5500U,8,Yes,GeForce GTX 1650 4G-GDDR6,130 W,SSD,256,Yes,15.6,1920 x 1080,60,Acer ComfyView Anti-glare LED-backlit,2.1,363.4,254.5,22.9,Windows 10,Vỏ nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
N3501C,5.0,2.0,511.0,Dell,"Inspiron N3501C i3 1115G4/4GB/256GB/15.6""FHD/Win 10",14999000,Intel,1115G4,4,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.96,363.96,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,No
46M12PA,5.0,1.0,381.0,HP,Pavilion 15 eg0513TU i3 1125G4,14999000,Intel,1125G4,4,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,--,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46M08PA,5.0,1.0,273.0,HP,Pavilion 15 eg0509TU i3 1125G4,15999000,Intel,1125G4,4,Yes,Intel UHD Graphics,45 W,SSD,512,Yes,15.6,1920 x 1080,60,--,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V4R53500U001W,5.0,1.0,624.0,Dell,Vostro V3405 R5 3500U,16499000,AMD,3500U,4,Yes,AMD Radeon Graphics Vega 8,45 W,SSD,256,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.7,328.7,239.5,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UX325EA-KG363T,5.0,3.0,725.0,Asus,Zenbook UX325EA-KG363T/i5-1135G7,23299000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,13.3,1920 x 1080,60,OLED,1.1,304.1,203.19,13.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253899,5.0,1.0,175.0,Dell,Vostro V3400 i3 1115G4/70253899,15899000,Intel,1115G4,8,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,14.0,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.64,339,242,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
P90F005,5.0,1.0,315.0,Dell,Inspiron N3501B i5 1135G7,18999000,Intel,1135G7,4,Yes,Intel Iris Xe Graphics,45 W,SSD,512,Yes,15.6,1920 x 1080,60,LED Backlit,1.96,363.96,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,No
4R0U8PA,5.0,1.0,670.0,HP,Gaming VICTUS 16 e0175AX R5 5600H/4R0U8PA,23769000,AMD,5600H,8,Yes,NVIDIA GeForce RTX 3050 4GB,200 W,SSD,512,Yes,16.1,1920 x 1080,144,Anti-glare Micro-edge WLED-backlit,2.46,369,262,23.5,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD8SV.001,5.0,2.0,1077.0,Acer,Nitro Gaming AN515-57-74RD/i7-11800H,26599000,Intel,11800H,8,Yes,Geforce RTX 3050 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QC2SV.002,5.0,1.0,68.0,Acer,Predator Helios Gaming PH315-54-75YD/i7-11800H,37999000,Intel,11800H,16,Yes,Nvidia Geforce RTX3060 6GB,59 W,SSD,512,Yes,15.6,2560 x 1440,165,LED-backlit,2.3,363,255,22.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
0WT8R1,5.0,1.0,160.0,Dell,Inspiron N5510 i5 11300H/0WT8R1,22329000,Intel,11300H,8,Yes,Intel Iris Plus Graphics,65 W,SSD,256,Yes,15.6,1920 x 1080,60,--,1.65,356,228,18,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82K100FBVN,5.0,1.0,57.0,Lenovo,Gaming 3 15IHU6 i7 11370H/82K100FBVN,26999000,Intel,1130G7,8,Yes,NVIDIA GeForce RTX 3050 4GB,45 W,SSD,512,Yes,15.6,1920 x 1080,120,IPS LCD,2.25,359,252,24.4,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
089VN,5.0,1.0,77.0,MSI,Prestige 14EVO A11M-089VN i7-1185G7,29099000,Intel,1185G7,16,Yes,Intel Iris Xe Graphics,90 W,SSD,512,Yes,14.0,1920 x 1080,60,--,1.29,319,219,15.9,Windows 10,Kim Loại,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
641VN,5.0,1.0,50.0,MSI,Gaming Katana GF66 11UC 641VN i7 11800H,29099000,Intel,11800H,8,Yes,NVIDIA GeForce RTX 3050 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.1,359,--,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
036VN,5.0,1.0,27.0,MSI,Gaming Alpha 15 B5EEK 036VN R7 5800H/036VN,35899000,AMD,5800H,16,Yes,AMD Radeon RX 6600M 8GB,180 W,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.35,359,259,23.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
255VN,5.0,1.0,79.0,MSI,Gaming Pulse GL66 11UDK 255VN i7 11800H,32999000,Intel,11800H,16,Yes,NVIDIA® GeForce® RTX 3050 Ti 4GB,180 W,SSD,512,Yes,15.6,1920 x 1080,144,--,2.25,359,258,23.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,No
Y1N1T5,5.0,1.0,94.0,Dell,Inspiron N3505 R5 3500U/Y1N1T5,19699000,AMD,3500U,8,Yes,AMD Radeon Graphics,48 W,SSD,512,Yes,15.6,1920 x 1080,60,Truelife LED-Backlit,1.83,360,249,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
232VN,5.0,1.0,8.0,MSI,Gaming Stealth 15M A11UEK 232VN i7 11375H,40699000,Intel,11370H,16,Yes,NVIDIA GeForce RTX 3060 Max-Q 6GB,150 W,SSD,512,Yes,15.6,1920 x 1080,144,IPS LCD,1.7,358,248,16.1,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0SM1-M09310,5.0,1.0,263.0,Asus,Zenbook UX425EA-KI439T/i7-1165G7,29899000,Intel,1165G7,16,Yes,Intel Iris Xe graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.17,319,208,13.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NR05X1-M00480,5.0,1.0,8.0,Asus,TUF Gaming FX516PM-HN002T/i7-11370H,31999000,Intel,11370H,8,Yes,Nvidia Geforce  RTX3060 6GB,200 W,SSD,512,Yes,15.6,1920 x 1080,144,Anti-glare LED-backlit,2,360,252,19.89 ~ 19.90,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NB0TP2-M03440,5.0,2.0,688.0,Asus,Vivobook M513UA-L1230T/R5-5500U,18999000,AMD,5500U,8,Yes,AMD Radeon Graphics,42 W,SSD,512,Yes,15.6,1920 x 1080,60,OLED,1.8,360,235,--,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
220VN,5.0,1.0,18.0,MSI,Summit E13 Flip Evo A11MT i7 1185G7,37999000,Intel,1185G7,16,Yes,Intel Iris Xe Graphics,65 W,SSD,1024,Yes,13.4,1920 x 1200,60,LED Backlit,1.35,300.2,222.25,14.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
037VN,5.0,1.0,17.0,MSI,Prestie 15 A11SC 037VN i7 1185G7,33999000,Intel,1185G7,16,Yes,NVIDIA GeForce GTX 1650 Max-Q 4GB,90 W,SSD,512,Yes,15.6,1920 x 1080,60,IPS LCD,1.693,356.8,233.7,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GV301QC-K6052T,5.0,1.0,54.0,Asus,FLow Gaming GV301QC-K6052T/R9-5900HX,37999000,AMD,5900HX,16,Yes,Nvidia GeForce RTX3050 4GB,--,SSD,512,Yes,13.4,1920 x 1200,120,--,1.3,290,228,15.9,Windows 10,Hợp kim Magie và nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NR07H3-M00090,5.0,1.0,223.0,Asus,Gaming Zephyrus GA401IHR-HZ009T/R7-4800HS,25999000,AMD,4800HS,8,Yes,GeForce GTX 1650 4GB,150 W,SSD,512,Yes,14.0,1920 x 1080,144,Anti-glare LED-backlit,1.6,324,222,17.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NB0RZ1-M13430,5.0,1.0,19.0,Asus,Zenbook Flip UX363EA-HP548T/i7-1165G7,32999000,Intel,1165G7,16,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,13.3,1920 x 1080,60,OLED,1.3,305.2,211.5,13.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
518V7PA,5.0,1.0,121.0,HP,240 G8 i5 1135G7/518V7PA,18499000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,45 W,SSD,512,Yes,14.0,1920 x 1080,60,--,1.42,324,225,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NR0606-M03570,5.0,1.0,60.0,Asus,Gaming TUF FA506QM-HN016T/R7-5800H,31999000,AMD,5800H,16,Yes,Nvidia Geforce  RTX3060 6GB,90 W,SSD,512,Yes,15.6,1920 x 1080,144,Anti-glare LED-backlit,2.39,359,256,24.4,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QBCSV.001,5.0,1.0,403.0,Acer,Nitro Gaming AN515-45-R0B6/R7-5800H,31349000,AMD,5800H,8,Yes,GeForce RTX™ 3060 6GB DDR6,--,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
068VN,5.0,1.0,41.0,MSI,Summit E16 Flip A11UCT i7 1195G7,44999000,Intel,1195G7,16,Yes,NVIDIA® GeForce® RTX3050 4GB,100,SSD,1024,Yes,16.0,2560 x 1600,120,LED Backlit,1.9,358.6,257.8,16.85,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QDQSV.001,,,,Acer,Triton Gaming PT315-53-75LQ/i7-11800H,40590000,Intel,11800H,16,Yes,Nvidia Geforce RTX3060 6GB,--,SSD,512,Yes,15.6,2560 x 1440,165,Acer ComfyView LED-backlit,2.0,350.72,255,19.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
46M00PA,5.0,1.0,323.0,HP,Pavilion 15 eg0504TU i7 1165G7,22309000,Intel,1165G7,8,Yes,Intel Iris Xe Graphics,45 W,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare WLED-backlit,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X515EA-BQ1004T,5.0,2.0,383.0,Asus,Vivobook X515EA-BQ1004T/i3-1115G4,14199000,Intel,1115G4,4,Yes,Intel UHD Graphics,37 W,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.8,360,235,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
FX516PE-HN005T,5.0,3.0,259.0,Asus,Gaming TUF FX516PE-HN005T/i7-11370H,27999000,Intel,11370H,8,Yes,Nvidia GeForce RTX3050Ti_4GB,180 W,SSD,512,Yes,15.6,1920 x 1080,144,Anti-glare LED-backlit,2.072,360,252,19.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MK1A3SA/A,5.0,1.0,6.0,Apple,"Macbook Pro 16"" 2021 M1 Max 1TB",92990000,Apple,M1 Max,32,Yes,Apple M1 Max,--,SSD,1024,Yes,16.2,3456 x 2234,--,--,2.129,--,--,--,Mac OS,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MK183SA/A,5.0,1.0,15.0,Apple,"Macbook Pro 16"" 2021 M1 Pro 512GB",65990000,Apple,M1 Pro,16,Yes,Apple M1 Pro,--,SSD,512,Yes,16.2,3456 x 2234,--,--,2.129,--,--,--,Mac OS,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MKGP3SA/A,5.0,1.0,38.0,Apple,"Macbook Pro 14"" 2021 M1 Pro 512GB",52990000,Apple,M1 Pro,16,Yes,Apple M1 Pro,--,SSD,512,Yes,14.2,3024 x 1964,--,--,1.604,--,--,--,Mac OS,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
3G1H5PA,5.0,1.0,0.0,HP,EliteBook x360 1040 G8 i7 1165G7/3G1H5PA,48499000,Intel,1165G7,16,Yes,Iris Xe Graphics,65 W,SSD,1024,Yes,14.0,1920 x 1080,--,FHD Touch,1.39,320,203.19,16.4,Windows 10 Pro 64,--,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
