P/N,rating,rating_count,comment_count,Brand,Series,price,cpu_brand,cpu_code,RAM,RAM_upgradable,GPU,battery_wh,storage_type,storage_size,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
MGN73SA/A,5.0,1.0,65.0,Apple,"Macbook Air 13"" 2020 M1 512GB",34999000,Apple,M1,8,Yes,Apple M1,--,SSD,512,Yes,13.3,2560 x 1600,--,"IPS LCD LED Backlit, True Tone",1.29,304.1,212.4,4.1 ~ 16.1,Mac OS,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
061VN,5.0,1.0,19.0,MSI,Gaming Stealth15M A11SDK 061VN i7 1185G7,34490000,Intel,1185G7,16,Yes,GeForce GTX 1660Ti Max- Q 6GB,150 W,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",1.693,358,248,15.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
MYDA2SA/A,5.0,7.0,680.0,Apple,"Macbook Pro 13"" 2020 Touch Bar M1 256GB",33999000,Apple,M1,8,Yes,Apple M1,--,SSD,256,Yes,13.3,2560 x 1600,--,"IPS LCD LED Backlit, True Tone",1.4,304.1,212.4,15.6,Mac OS,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
1A2F1AV,,,,HP,ZBook Firefly 14 G8 i5 1135G7/1A2F1AV,33899000,Intel,1135G7,16,No,Intel Iris Xe Graphics,,,512,No,14.0,,,,1.35,,,,,,,,,,,,,No
242VN,4.0,53.0,44.0,MSI,Leopard GL65 10SDK-242VN/Core i7-10750H,33490000,Intel,10750H,16,Yes,GeForce GTX 1660 Ti 6GB,--,SSD,512,Yes,15.6,1920 x 1080,144,LED-backlit,2.3,357,248,27.5,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0S41-M05030,5.0,1.0,2.0,Asus,Zenbook Duo UX482EA-KA274T/i5-1135G7,31999000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.62,324,222,--,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0S41-M02460,5.0,1.0,46.0,Asus,Zenbook Duo UX482EA-KA081T i5 1135G7,31499000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.62,324,222,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QDGSV.003,5.0,1.0,61.0,Acer,Nitro Gaming AN515-57-5831/i5-11400H,31349000,Intel,11400H,8,Yes,NVIDIA GeForce RTX 3060 6GB,--,SSD,512,Yes,15.6,1920 x 1080,144,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
P89F002BWH,5.0,1.0,64.0,Dell,Gaming G3 15 i7 10750H,31059000,Intel,10750H,16,Yes,NVIDIA® GeForce® GTX 1660Ti 6GB,240 W,SSD,512,Yes,15.6,1920 x 1080,120,WVA Anti-glare LED Backlit Narrow Border,2.58,364.46,254,32,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P89F002G3500B,3.0,2.0,205.0,Dell,Gaming G3 15 3500B i7 10750H/P89F002G3500B,31059000,Intel,10750H,16,Yes,Nvidia GTX1660Ti 6GB,240 W,SSD,512,Yes,15.6,1920 x 1080,120,WVA Anti-glare LED Backlit Narrow Border,2.58,364.46,254,21.60 ~ 30.96,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2019,5.0,1.0,78.0,Microsoft,Surface Pro 7/Core i5-1035G4,30499000,Intel,1035G4,8,Yes,Intel Iris Plus Graphics,65 W,SSD,256,Yes,12.3,2736 x 1824,60,--,0.775,201,8.5,292,Windows 10,Hợp kim Magie,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70258049,5.0,1.0,58.0,Dell,Gaming G15 5515 R7 5800H/70258049,30099000,AMD,5800H,8,Yes,NVIDIA GeForce GTX 3050 4GB,180 W,SSD,512,Yes,15.6,1920 x 1080,120,WVA Anti-glare LED Backlit Narrow Border,2.81,357,272,26.9,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
2K0B6PA,5.0,1.0,127.0,HP,Envy 13 ba1030TU i7 1165G7/2K0B6PA,29779000,Intel,1165G7,8,Yes,Card Onboard,65 W,SSD,512,Yes,13.3,1920 x 1080,60,BrightView Micro-edge WLED-backlit,1.25,307,194.5,16.9,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
G5 MD-51S1123SH,5.0,1.0,46.0,Gigabyte,Gaming G5 MD i5 11400H/51S1123SH,28499000,Intel,11400H,16,Yes,NVIDIA GeForce RTX3050 Ti 4GB,150 W,SSD,512,Yes,15.6,1920 x 1080,144,Anti-glare LED-backlit,2.2,361,258,24.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NX.AU3SV.001,5.0,1.0,60.0,Acer,Swift X SFX14-41G-R61A/R5-5600U,28499000,AMD,5600U,16,Yes,Nvidia Geforce RTX3050Ti 4GB,--,,1024,Yes,14.0,1920 x 1080,60,Acer ComfyView LED-backlit,1.39,322.8,212.2,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
FX706HC-HX009T,5.0,1.0,28.0,Asus,TUF Gaming FX706HC-HX009T/i7-11800H,27999000,Intel,11800H,8,Yes,Nvidia Geforce RTX3050 4GB,48 W,SSD,512,Yes,17.3,1920 x 1080,144,Anti-glare LED-backlit,2.6,399,269,21.37 ~ 26.13,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
31J36PA,5.0,1.0,12.0,HP,Pavillion Gaming 15 dk1159TX/i7 10750H,27990000,Intel,10750H,8,Yes,NVIDIA® GeForce® GTX1659 4GB,150 W,SSD,512,Yes,15.6,1920 x 1080,60,LED-backlit,2.23,360,256,23.4,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NR05U1-M00940,5.0,1.0,58.0,Asus,Gaming TUF FX516PC-HN001T/i7-11370H,27790000,Intel,11370H,8,Yes,Nvidia Geforce RTX3050 4GB,200 W,SSD,512,Yes,15.6,1920 x 1080,144,Anti-glare LED-backlit,2,360,252,19.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
1K3U8PA,5.0,1.0,56.0,HP,Pavilion Gaming 15 dk1074TX i7 10750H/1K3U8PA,27490000,Intel,10750H,8,Yes,GeForce GTX 1650 4GB,--,SSD,512,Yes,15.6,1920 x 1080,60,IPS LCD,2.23 Kg,360.02,256,23.4,Windows 10 Home SL 64,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
171N3PA,5.0,1.0,99.0,HP,Envy x360 13 ay0069AU R7 4700U/171N3PA,27199000,AMD,4700U,8,Yes,AMD Radeon Graphics,65 W,SSD,256,Yes,13.3,1920 x 1080,60,FHD Touch,1.32kg,306.5,194.6,16.4,Windows 10 Home,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82A30075VN,5.0,2.0,317.0,Lenovo,Yoga Slim 7 14ITL05 i7 1165G7,27199000,Intel,1165G7,16,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.36,320.5,208.5,14.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
82B500RRVN,5.0,1.0,329.0,Lenovo,Gaming Legion 5 R7 4800H,26999000,AMD,4800H,16,Yes,NVIDIA® GeForce® GTX1650Ti 4GB,170 W,,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.3,363,256.9,22,Windows 10,ABS plastic,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
