url,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_brand,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,screen_technology,Weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
https://www.thegioididong.com/laptop/hp-15s-fq2559tu-i5-46m27pa?src=osp#top-tskt,46m27pa,3.6,72,974,hp,15s fq2559tu 46m27pa,17990000.0,intel,1135g7,8.0,yes,intel iris xe graphics,41.0,512,ssd,no,15.6,1920 x 1080,60,ips,1.592,358.5,242.0,18.0,windows 10,plastic,2020.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/hp-15s-fq2559tu-i5-1135g7-46m27pa?src=osp#top-tskt,46m27pa,0.0,0,12,hp,15s fq2559tu 46m27pa,18190000.0,intel,1135g7,8.0,yes,intel iris xe graphics,41.0,512,ssd,no,15.6,1920 x 1080,60,ips,1.592,358.5,242.0,18.0,windows 11,plastic,2021.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/dell-vostro-3400-i5-70253900?src=osp#top-tskt,70253900,3.6,21,536,dell,vostro 3400 70253900,18890000.0,intel,1135g7,8.0,yes,intel iris xe graphics,42.0,256,ssd,yes,14.0,1920 x 1080,60,va,1.64,328.7,239.5,19.9,windows 10,plastic,2021.0,no,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/hp-pavilion-15-eg0507tu-i5-46m06pa?src=osp#top-tskt,46m06pa,4.2,165,1791,hp,pavilion 15 eg0507tu 46m06pa,17790000.0,intel,1135g7,8.0,yes,intel iris xe graphics,41.0,256,ssd,no,15.6,1920 x 1080,60,ips,1.682,360.2,234.0,17.9,windows 10,metal,2021.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/asus-vivobook-x515ep-i5-1135g7-8gb-512gb?src=osp#top-tskt,bq186t,3.3,6,423,asus,vivobook x515ep bq186t,18990000.0,intel,1135g7,8.0,yes,nvidia geforce mx330,37.0,512,ssd,yes,15.6,1920 x 1080,60,ips,1.8,360.2,234.9,19.9,windows 10,plastic,2021.0,no,yes,yes,no,yes,yes,no
https://www.thegioididong.com/laptop/dell-vostro-3405-r5-v4r53500u003w?src=osp#top-tskt,v4r53500u003w,3.3,13,363,dell,vostro 3405 v4r53500u003w,18490000.0,amd,3500u,8.0,yes,amd radeon vega 8 graphics,42.0,512,ssd,yes,14.0,1920 x 1080,60,va,1.7,328.7,239.5,19.9,windows 10,plastic,2020.0,no,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/hp-240-g8-i5-518v6pa?src=osp#top-tskt,518v6pa,4.0,8,241,hp,240 g8 518v6pa,17090000.0,intel,1135g7,8.0,yes,intel iris xe graphics,41.0,256,ssd,yes,14.0,1920 x 1080,60,ips,1.426,324.0,225.9,19.9,windows 10,plastic,2021.0,no,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/hp-15s-fq2561tu-i5-1135g7-46m29pa?src=osp#top-tskt,46m29pa,0.0,0,40,hp,15s fq2561tu 46m29pa,16990000.0,intel,1135g7,8.0,yes,intel iris xe graphics,41.0,512,ssd,yes,15.6,1366 x 768,60,,1.7,358.5,242.0,18.0,windows 11,plastic,2021.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i5-eb637w?src=osp#top-tskt,eb637w,0.0,0,19,asus,vivobook x415ea eb637w,17790000.0,intel,1135g7,8.0,yes,intel iris xe graphics,37.0,512,ssd,yes,14.0,1920 x 1080,60,ips,1.55,325.4,216.0,19.9,windows 11,plastic,2021.0,no,yes,yes,no,yes,yes,no
https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i5-eb637t?src=osp#top-tskt,eb637t,4.2,109,1197,asus,vivobook x415ea eb637t,17590000.0,intel,1135g7,8.0,yes,intel iris xe graphics,37.0,512,ssd,yes,14.0,1920 x 1080,60,ips,1.55,325.4,216.0,19.9,windows 10,plastic,2020.0,no,yes,yes,no,yes,yes,no
