PN,Name,Price,Price Origin,Screen Size,CPU,RAM,Hard Drive,Graphic Card,Weight,Rating,Rating detail,Rating Count,Comment Count
90NR0606-M03570,ASUS Gaming TUF FA506QM-HN016T/R7-5800H,31999000,32999000,"15.6""",Ryzen 7,16 GB,SSD 512 GB,Nvidia Geforce  RTX3060 6GB,2.39,5,"['1', '0', '0', '0', '0']",1,37
90NR05X1-M00480,Asus TUF Gaming FX516PM-HN002T/i7-11370H,31999000,32999000,"15.6""",Core i7,8 GB,SSD 512 GB,Nvidia Geforce  RTX3060 6GB,2,5,"['1', '0', '0', '0', '0']",1,4
nan,Asus Zenbook Duo UX482EA-KA081T i5 1135G7,31499000,32999000,"14.0""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.62,nan,"['nan', 'nan', 'nan', 'nan', 'nan']",nan,nan
NH.QDGSV.003,Acer Nitro Gaming AN515-57-5831/i5-11400H,31349000,32999000,"15.6""",Core i5,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3060 6GB,2.2,5,"['1', '0', '0', '0', '0']",1,59
N4I5134W,Dell Inspiron N7400 i5 1135G7/N4I5134W,29549000,30499000,Đang cập nhật,Core i5,16 GB,SSD 512 GB,NVIDIA GeForce MX350 2GB,1.35,5,"['1', '0', '0', '0', '0']",1,48
MGN63SA/A,"MacBook Air 13"" 2020 M1 256GB",28999000,28999000,"13.3""",M1,8 GB,SSD 256 GB,Apple M1,1.29,5,"['2', '0', '0', '0', '0']",2,1369
4U6M4PA,HP Envy 13 ba1535TU i7 1165G7/4U6M4PA,28899000,29899000,"13.3""",Core i7,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.23,5,"['1', '0', '0', '0', '0']",1,29
NX.AU3SV.001,Acer Swift X SFX14-41G-R61A/R5-5600U,28499000,29999000,"14.0""",Ryzen 5,16 GB,nan,Nvidia Geforce RTX3050Ti 4GB,1.39,5,"['1', '0', '0', '0', '0']",1,46
FX706HC-HX009T,Asus TUF Gaming FX706HC-HX009T/i7-11800H,27999000,29999000,"17.3""",Core i7,8 GB,SSD 512 GB,Nvidia Geforce RTX3050 4GB,2.6,5,"['1', '0', '0', '0', '0']",1,20
31J36PA,HP Pavillion Gaming 15 dk1159TX/i7 10750H,27990000,28990000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA® GeForce® GTX1659 4GB,2.23,5,"['1', '0', '0', '0', '0']",1,10
