Dung lượng RAM,Wi-Fi,Loại CPU,4star,Tính năng đặc biệt,3star,Ổ cứng,Bluetooth,old_price,Chất liệu tấm nền,Loại card đồ họa,Khe đọc thẻ nhớ,item_name,Hệ điều hành,2star,Công nghệ màn hình,Công nghệ âm thanh,5star,comment_count,Độ phân giải màn hình,Webcam,Kích thước,Loại RAM,Độ phân giải ,Trọng lượng,Màn hình cảm ứng,Cổng giao tiếp,1star,Chất liệu,url,Kích thước màn hình,Đèn bàn phím,Pin,special_price
,802.11AX (2x2),Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,0,,1,"512GB SSD PCIE G3X4, x1 slot 2.5"" SATA (HDD/SSD)",v5.0,,,NVIDIA GeForce GTX 1650 4GB GDDR6 + Intel UHD Graphics,,Laptop Lenovo Gaming Legion 5 15IMH05 82AU004YVN,Windows 10 Home SL,0,"15.6"" FHD (1920 x 1080), IPS, Anti-Glare, 120Hz, LED Backlight, 250nits, 45% NTSC",,2,31,1920 x 1080 pixels (FullHD),,363.06 x 259.61 x 23.57-26.1 (mm),"DDR4 2933MHz, 2 khe cắm, hỗ trợ tối đa 32GB",,2.3 kg,,"4x USB 3.1 Gen 1 (Always On), 2x USB 3.1 Gen 2, 1x USB 3.1 Type-C Gen 1 (with the function of DisPlay 1.4), 1x USB 3.1 Type-C Gen 2 / Thunderbolt 3 (with the function of DP 1.4), 1x HDMI 2.0, 1x Ethernet (RJ-45), 1x headphone / microphone combo jack",0,,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5.html,15.6 inches,,4 Cell 60WHr,
8GB,KillerTM Wi-Fi 6 AX 1650i,"Intel Core i5-11400H (2.70GHz up to 4.50GHz, 12MB Cache)",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB PCIe NVMe SSD,v5.1,,Tấm nền IPS,NVIDIA GeForce RTX 3060 6GB GDDR6,Có,Laptop Gaming Acer Nitro 5 Eagle AN515-57-5831 NH.QDGSV.003,Windows 10 Home SL ,0,Tần số quét 144Hz,2 Loa,0,3,1920 x 1080 pixels (FullHD),,363.4 (W) x 255 (D) x 23.9 (H) mm,"DDR4 3200MHz, 2 khe cắm hỗ trợ tối đa 32GB",Full HD,2.2 kg,Không,1 x USB Type-C hỗ trợ: USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB-C Thunderbolt 4 USB charging 5 V; 3 A 1 x USB 3.2 Gen 2 hỗ trợ sạc 2 x USB 3.2 Gen 1 1 x HDMI 1 x combo jack tai nghe 3.5 mm,0,Vỏ nhựa,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-5831.html,15.6 inches,Có,"4-cell, 57.5 Wh",
8GB,KillerTM Wi-Fi 6 AX 1650i,"Intel Core i7-11800H (2.30GHz up to 4.60GHz, 24MB Cache)",0,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB PCIe NVMe SSD,v5.1,27.990.000,Tấm nền IPS,NVIDIA GeForce RTX 3050 4GB GDDR6,Có,Laptop Gaming Acer Nitro 5 Eagle AN515-57-74RD NH.QD8SV.001,Windows 10 Home SL,0,Tần số quét 144Hz,"2 Loa, Acer TrueHarmony",0,77,1920 x 1080 pixels (FullHD),HD Web Camera,363.4 (W) x 255 (D) x 23.9 (H) mm,"DDR4 3200MH, 2 khe cắm hỗ trợ tối đa 32GB",Full HD,2.2 kg,Không,1 x USB Type-C hỗ trợ: USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB-C Thunderbolt 4 USB charging 5 V; 3 A 1 x USB 3.2 Gen 2 hỗ trợ sạc 2 x USB 3.2 Gen 1 1 x HDMI 1 x combo jack tai nghe 3.5 mm,0,Vỏ nhựa,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74rd.html,15.6 inches,Có,"4-cell, 57.5 Wh",26.230.000
8GB,KillerTM Wi-Fi 6 AX 1650i,"Intel Core i7-11800H (2.30GHz up to 4.60GHz, 24MB Cache)",0,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB PCIe NVMe SSD,v5.1,29.990.000,Tấm nền IPS,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,Có,Laptop Gaming Acer Nitro 5 Eagle AN515-57-74NU NH.QD9SV.001,Windows 10 Home SL ,0,Tần số quét 144Hz,2 Loa,0,44,1920 x 1080 pixels (FullHD),,363.4 (W) x 255 (D) x 23.9 (H) mm,"DDR4 3200MHz, 2 khe cắm hỗ trợ tối đa 32GB",Full HD,2.2 kg,Không,1 x USB Type-C hỗ trợ: USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB-C Thunderbolt 4 USB charging 5 V; 3 A 1 x USB 3.2 Gen 2 hỗ trợ sạc 2 x USB 3.2 Gen 1 1 x HDMI 1 x combo jack tai nghe 3.5 mm,0,Vỏ nhựa,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74nu.html,15.6 inches,Có,"4-cell, 57.5 Wh",27.390.000
8GB,KillerTM Wi-Fi 6 AX 1650i,"Intel Core i5-11400H (2.70GHz up to 4.50GHz, 12MB Cache)",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,"512GB PCIe NVMe SSD ( nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)",v5.1,,Tấm nền IPS,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,Có,Laptop Gaming Acer Nitro 5 Eagle AN515-57-57MX NH.QD9SV.002,Windows 10 Home SL ,0,Tần số quét 144Hz,2 Loa,0,2,1920 x 1080 pixels (FullHD),,363.4 (W) x 255 (D) x 23.9 (H) mm,"DDR4 3200MHz, 2 khe cắm hỗ trợ tối đa 32GB",Full HD,2.2 kg,Không,1 x USB Type-C hỗ trợ: USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB-C Thunderbolt 4 USB charging 5 V; 3 A 1 x USB 3.2 Gen 2 hỗ trợ sạc 2 x USB 3.2 Gen 1 1 x HDMI 1 x combo jack tai nghe 3.5 mm,0,Vỏ nhựa,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-57mx.html,15.6 inches,Có,"4-cell, 57.5 Wh",
8GB,KillerTM Wi-Fi 6 AX 1650i,"Intel Core i5-11400H (2.70GHz up to 4.50 GHz, 12MB Cache)",0,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,"512GB PCIe NVMe SSD (nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)",v5.1,25.990.000,Tấm nền IPS,NVIDIA GeForce RTX 3050 4GB GDDR6,Có,Laptop Gaming Acer Nitro 5 Eagle AN515-57-51G6 NH.QD8SV.002,Windows 10 Home SL ,0,Tần số quét 144Hz,2 Loa,0,96,1920 x 1080 pixels (FullHD),,363.4 (W) x 255 (D) x 23.9 (H) mm,"DDR4 3200MHz, 2 khe cắm hỗ trợ tối đa 32GB",Full HD,2.2 kg,Có,1 x USB Type-C hỗ trợ: USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB-C Thunderbolt 4 USB charging 5 V; 3 A 1 x USB 3.2 Gen 2 hỗ trợ sạc 2 x USB 3.2 Gen 1 1 x HDMI 1 x combo jack tai nghe 3.5 mm,0,Vỏ nhựa,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-51g6.html,15.6 inches,Có,"4-cell, 57.5 Wh",24.390.000
8GB,802.11 AX (2x2),Intel Core i5-1135G7 0.9GHz up to 4.2GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),v5.0,18.790.000,,Intel Iris Xe Graphics ,Có,Laptop ASUS VivoBook 14 A415EA-EB360T,Windows 10 Home SL,0,"Anti-Glare with 45% NTSC, NanoEdge",,0,70,1920 x 1080 pixels (FullHD),,324 x 215 x 17.9 mm,"DDR4 2666MHz, không hỗ trợ nâng cấp",Full HD,1.4 kg,Không,"1 x Type-A USB 3.2 Gen 1, 1 x Type-C USB 3.2, 2 x USB 2.0 port(s), 1 x HDMI 1.4",0,,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea.html,14 inches,,3 Cells 42WHrs,18.290.000
4GB,802.11ac,"Intel Pentium Silver N5030 Processor (4MB Cache, up to 3.1 GHz)",0,Ổ cứng SSD,0,128GB M.2 PCIe NVMe Solid State Drive,,10.990.000,Tấm nền IPS,Intel UHD Graphics 605 with shared graphics memory,Có,Laptop Dell Inspiron 15 3502,Windows 10 Home SL ,0,Màn hình chống chói,,0,95,1366 x 768 pixels (HD+),Có,19.9 mm x 363.96 mm x 249.0 mm,"DDR4, 2400MHz",HD,1.77 kg,Không,1 USB 2.0 Gen 1 Type-A 1 HDMI 1.4 1 RJ45 2 USB 3.2 Gen 1 Type-A 1 Audio Jack,0,Vỏ nhựa,https://cellphones.com.vn/laptop-dell-inspiron-15-3502-pent.html,15.6 inches,Không,"3-Cell, 42 WHr",9.990.000
8GB,Wi-Fi 6: 802.11ax,AMD Ryzen™ 5 4680U 6 nhân,0,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",0,256GB,5,29.990.000,Tấm nền IPS, AMD Radeon™ Graphics,Có,Surface Laptop 4 Ryzen 5 / 8GB / 256 GB / 13.5 inches Chính Hãng,Window 10 Home,0,"PixelSense™ Display, Tỉ lệ khung ảnh 3:2",Loa 2W với Dolby® Audio™ và Dual far-field Studio Mics,0,39,2256 x 1504 pixels,HD 720p Camera,308 x 223 x 14.5 mm,LPDDR4,2K (Quad HD),1.27 kg,Có,1 x USB-C  1 x USB-A  Jack cắm 3.5 mm  1 x cổng kết nối Surface,0,,https://cellphones.com.vn/surface-laptop-4.html,13.5 inches,,"47.4 Wh, thời lượng pin lên đến 19 giờ (đối với các tác vụ thông thường)",26.990.000
,Wi-Fi 6: 802.11ax compatible,Intel Core i5-1035G7 Processor,0,,0,SSD: 128 GB,5,,,Intel Iris Plus Graphics,,Surface Laptop 3 Core i5 / 8GB / 128 GB / 13.5 inches Chính Hãng,Windows 10,0,,,0,48,2256 x 1504 pixels,,308 mm x 223 mm x 14.5 mm,,,1.2 kg,,"- 1 x USB-C- 1 x USB-A- Giắc cắm tai nghe 3,5 mm- 1 x Cổng kết nối Surface",0,,https://cellphones.com.vn/surface-laptop-3-core-i5-ram-8gb-ssd-128gb-13-5inch.html,13.5 inches,,,
8GB,Wi-Fi 6: 802.11ax compatible,Intel Core i5-1035G7 Processor,0,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",0,SSD: 256 GB,5,29.990.000,,Intel Iris Plus Graphics,,Surface Laptop 3 Core i5 / 8GB / 256 GB / 13.5 inches Chính Hãng,Windows 10,0,"PixelSense™, Kính cường lực Gorilla® Glass 3, ",,0,23,2256 x 1504 pixels,"720p HD, Windows Hello",308 mm x 223 mm x 14.5 mm,,,1.2 kg,Có,"- 1 x USB-C- 1 x USB-A- Giắc cắm tai nghe 3,5 mm- 1 x Cổng kết nối Surface",0,Vỏ kim loại,https://cellphones.com.vn/surface-laptop-3-core-i5-ram-8gb-ssd-256gb-13-5inch.html,13.5 inches,,Lên đến 11.5 giờ,26.990.000
8GB,Intel Wi-Fi 6 AX201(2*2 ax),Intel Core i7-10510U 1.8GHz up to 4.9GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB PCIe NVMe™ M.2 SSD (1 slot),v5.1,19.990.000,Tấm nền IPS,Intel UHD Graphics,Có,Laptop MSI Modern 14 B10MW,Windows 10 Home SL ,0,100% sRGB,2x 2W Speaker,0,72,1920 x 1080 pixels (FullHD),HD type (30fps@720p),319 x 220.2 x 16.9 (mm),"DDR4 2666MHz, 1 khe cắm",Full HD,1.3 kg,,1x Type-C USB3.2 Gen2 2x Type-A USB2.0 1x (4K @ 30Hz) HDMI,0,Vỏ nhựa,https://cellphones.com.vn/laptop-msi-modern-14-b10mw-647vn.html,14 inches,Có,3 Cell 39WHr,19.790.000
16GB,Intel Wi-Fi 6(Gig+)(802.11ax),"AMD Ryzen™ R9-5900HS 3.30GHz up to 4.60GHz, 8 nhân 16 luồng",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB M.2 NVMe™ PCIe® 3.0 SSD,v5.1,33.990.000,Tấm nền IPS,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,Có,Laptop ASUS Gaming ROG Zephyrus G15 GA503QC-HN074T,Windows 10 Home SL ,0,"Tần số quét 144Hz, 100%sRGB",,0,13,1920 x 1080 pixels (FullHD),,35.5(W) x 24.3(D) x 1.99(H) cm,"16GB (8GB onboard + 8GB) DDR4 3200MHz, 1 khe ram nâng cấp tối đa 24GB",Full HD,1.9 kg,Không,2x Type C USB 3.2 Gen 2 with Power Delivery and Display Port 2x USB 3.2 Gen 2 Type-A 1x HDMI 2.0b 1x 3.5mm Combo Audio Jack 1x card reader (microSD),0,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g15-ga503qc-hn074t.html,15.6 inches,Có," 4-cell, 90WHrs Li-ion",32.990.000
